school_name,overview_paragraph,language_classes,neighborhood,location,phone_number,website,total_students,Borough
The Bronxwood Preparatory Academy,"We look to awaken in our students a passion for learning that continues throughout their lives. At our school, we believe in developing our students into young scholars prepared to meet the challenges of the world. Our small class size offers individualized attention to our students. We have a strong emphasis on reading and writing across the curriculum. Students work with state-of-the-art technology infused throughout the curriculum. At Bronxwood Preparatory Academy, we believe that with teamwork we become Â‘The Home of Achievers!Â’",Spanish,Williamsbridge-Olinville,"921 East 228th Street, Bronx NY 10466 (40.888242, -73.852714)",718-696-3820,schools.nyc.gov/SchoolPortals/11/X514,421,BRONX    
Bronxdale High School,"Our school fosters a realistic, relevant, and hands-on educational experience for students. We use collaborative approaches that benefit students by teaching them skills they will need beyond high school, such as the ability to work in teams, solve multi-faceted problems, and apply what they learn in various settings. Our class sizes are approximately twenty-two students per academic course, and core courses are ninety minutes long on alternating days. We have planned an extended school day to provide structured time, individual attention, and other supports students may need to succeed. Bronxdale High School helps each child develop the critical thinking skills and habits of work necessary for post-secondary success.",Spanish,Bronxdale,"925 Astor Avenue, Bronx NY 10469 (40.860443, -73.860729)",718-944-3655,www.bronxdalehs.org,434,BRONX    
Origins High School,"Origins High School prepares students for success in college by building on strengths and being attentive to individual needs. We make it a priority to know our students and their families through our advisory program. Our inquiry-based curriculum asks students to develop questions, conduct research, and prepare in-depth projects that exhibit their learning. Origins' challenging liberal arts education is grounded in small group work, reading analysis, and an emphasis on writing. Students present portfolios of work to panels of teachers and community members twice a year. At Origins, our students graduate as active, confident learners, and problem-solvers.","Russian, Spanish",Sheepshead Bay,"3000 Avenue X, Brooklyn NY 11235 (40.593157, -73.936635)",718-891-0037,www.originshighschool.org,333,BROOKLYN 
Bronx High School for Medical Science,"Our school offers a small academically challenging high school experience to students who wish to enter the fields of medical science and health. Science courses are embedded into all curricular areas. At our school, the first three years of study are devoted to the completion of all requirements for graduation, while the last year is devoted to CUNY College Now coursework. Over the course of their high school experience, students become Â‘resident expertsÂ’ in a topic of their choice and are required to compile a variety of reports, experiments, and artifacts culminating in a senior year presentation to their peers.",Spanish,E. Concourse-Concourse Village,"240 East 172nd Street, Bronx NY 10457 (40.839307, -73.911366)",718-410-4040,schools.nyc.gov/SchoolPortals/09/X413,423,BRONX    
Mott Hall V,"Mott Hall V is a science, math, and technology based school dedicated to the academic and personal development of students who will become tomorrowÂ’s leaders. Students are challenged to question, anticipate, solve problems, assume personal responsibility, and emerge as enthusiastic, lifelong learners. We provide a structured environment for grades six through twelve that includes a nurturing staff, a strong sense of family and community, and substantial support for studentsÂ’ academic and personal growth.","French, Spanish",West Farms-Bronx River,"1551 East 172nd Street, Bronx NY 10472 (40.832508, -73.878191)",718-620-8160,www.MottHallV.org,694,BRONX    
Brooklyn Technical High School,"Brooklyn Technical High School (Brooklyn Tech) is the nationÂ’s largest public high school. Housed in a state-of-the-art physical plant reborn for the 21st century, the school is a national model for excellence and a stimulating environment that fosters transformational education and personal growth in classrooms and labs which are on par with university and industry standards. With modern technology at its core, Brooklyn Tech serves as a vibrant intellectual arena for faculty and students to explore and embrace the ideas, technology, and instructional methods that will shape the future.","Chinese (Mandarin), French, Italian, Latin, Spanish",Fort Greene,"29 Ft Greene Place, Brooklyn NY 11217 (40.688896, -73.976435)",718-804-6400,www.bths.edu,"5,534",BROOKLYN 
Leadership Institute,"Leadership Institute is a small community-based high school founded by youth and educators at Sistas and Brothas United, the youth affiliate of the Northwest Bronx Community and Clergy Coalition. Through partnerships with our leading community based organizations: Phipps Neighborhood, The Leadership Program-21st Century Grant, The Future Project, and the YMCA-Rowes Scholar program, the school trains youth to be leaders who take charge of their schools and communities. A focus on Leadership, Community Action, and Social Justice encourages our students to take ownership of their community and gain an understanding of their rights in a fair, democratic society.The teaching of all three pillars would place our students in a college and career path.",Spanish,Claremont-Bathgate,"1701 Fulton Avenue, Bronx NY 10457 (40.841758, -73.897943)",718-299-7490,schools.nyc.gov/SchoolPortals/09/X276,180,BRONX    
Washington Heights Expeditionary Learning School (WHEELS),"We provide a small, nurturing environment for adolescents, a place where high expectations, excellent academic practices, and dedicated faculty provide differentiated instruction to students. Our mission is to work with families to prepare each student academically, emotionally, intellectually, and socially to succeed in college and beyond. Our unique internship program allows students to take advantage of partnerships with New York City organizations and businesses. Consider our school if you strive to become a skilled problem-solver and effective communicator, adventurous and willing to take intellectual risks, and an active and positive contributor to the school and local community.",Spanish,Washington Heights N.,"511 West 182nd Street, Manhattan NY 10033 (40.849311, -73.930991)",212-781-0524,http://schools.nyc.gov/SchoolPortals/06/M348/default.htm,760,MANHATTAN
Marble Hill High School for International Studies,"The curriculum of Marble Hill High School for International Studies focuses on international studies, global awareness, and world languages. Our goal is to promote understanding and knowledge of other cultures as we prepare students for the future. The school provides opportunities for international exchange programs to various countries for students in grades ten through twelve. We have an international community representing more than 49 countries and our students speak over 40 different languages. All ninth graders are matched with a mentor that will remain with them for four years through the iMentor Program.","Italian, Japanese, Spanish",Spuyten Duyvil-Kingsbridge,"99 Terrace View Avenue, Bronx NY 10463 (40.877379, -73.912686)",718-561-0973,www.Marblehillschool.org,447,BRONX    
"City Polytechnic High School of Engineering, Architecture, and Technology","Each member of our community accepts responsibility for the learning, academic achievement, and social and cultural development of all students. We are a CTE Early College school under the 9Â–14 P-Tech model that prepares our students for college and careers in Construction Management, Civil Engineering Technology, and Architectural Technology. Students take courses that are developed and co-taught by college professors at CUNYÂ’s New York City College of Technology (City Tech) and participate in internship opportunities. After meeting college-ready benchmarks, our students attend City Tech at no cost to earn an Associate Degree in Construction Management, Civil Engineering Technology, or Architectural Technology.",Spanish,DUMBO-Downtown Brooklyn,"105 Tech Place, Brooklyn NY 11201 (40.695444, -73.986105)",718-875-1473,www.citypolyhs.org,451,BROOKLYN 
Frederick Douglass Academy II Secondary School,"Frederick Douglass Academy II is a college preparatory secondary school focused on creating the next generation of societyÂ’s leaders, who are committed to excellence in character, scholastic achievement, and community service through a rigorous academic curriculum that exceeds national standards. We are a nurturing and supportive community of learners that provides Scholars an extraordinary opportunity for personal growth.",Spanish,Central Harlem South,"215 West 114th Street, Manhattan NY 10026 (40.80261, -73.954152)",212-865-9260,www.fda2.org,390,MANHATTAN
Information Technology High School,Information Technology High School (ITHS) is a state-of-the-art high school dedicated to preparing students to meet the demands of the 21st century. Technology is our chief focus and is offered as a specialty area of learning. Our goal is to ensure that all our graduates will be college-ready with the skills necessary to succeed in tomorrowÂ’s world of work.,Spanish,Hunters Point-Sunnyside,"21-16 44th Road, Long Island City NY 11101 (40.748502, -73.946488)",718-937-4270,www.ithsnyc.org,961,QUEENS   
Comprehensive Model School Project M.S. 327,"At the Comprehensive Model School Project (CMSP), children are our first priority. We are an inclusive community comprised of students, parents and educators dedicated to high academic achievement and the complete social-emotional development of each student. We are a community that respects and honors diversity. Students are valued members of our school community who understand the importance of self-respect and respect for others. The academic success of our students is a collaborative effort and is the result of our staffÂ’s expertise, planning and professionalism, extensive parent involvement, studentsÂ’ commitment to success, and an atmosphere of social equity in our school.",Spanish,West Concourse,"1501 Jerome Avenue, Bronx NY 10452 (40.842503, -73.916084)",718-294-8111,schools.nyc.gov/SchoolPortals/09/X327,737,BRONX    
Manhattan Early College School for Advertising,"Through close partnerships with the Borough of Manhattan Community College (BMCC) and with the advertising and media industry, our school prepares students for success at four-year colleges and competitive careers. Students have the option to remain at our school for up to six years and can earn an Associate Degree at no cost in addition to their CTE-endorsed high school Regents diploma. In the first four years, students participate in job shadowing, field trips, training seminars, and summer internships. All of our community members are accountable for our five pillars: Scholarship, Creativity, Character, Responsibility, and Empathy. Students are held to high standards and expected to participate in the development of our community.",,Chinatown,"411 Pearl Street, Manhattan NY 10038 (40.711441, -74.000851)",212-225-0880,www.meca-nyc.org,191,MANHATTAN
Discovery High School,"At Discovery, students are prepared for college and life after high school. Students learn how to reflect upon their own thinking and acquire the skills they need to be successful in the world of tomorrow. At our school, every student discovers and explores his or her potential. In addition to the strong emphasis on academics and preparation for college, Discovery emphasizes the importance of developing family-like bonds, both between the teachers and their students, and between the students themselves. Discovery strives to create a nurturing culture in which students enjoy learning and can be creative while maintaining healthy social bonds and relationships.",Spanish,Van Cortlandt Village,"2780 Reservoir Avenue, Bronx NY 10468 (40.869061, -73.897066)",718-733-3872,schools.nyc.gov/SchoolPortals/10/X549,505,BRONX    
A. Philip Randolph Campus High School,"We provide students with the opportunity to take in advanced courses in medicine, engineering, and humanities. Students who distinguish themselves in their coursework have the opportunity to enroll in free college courses through The City College of New York (CUNY) and Touro Colleges, participate in special programs such as the Gateway Pre-Med Honor Society, and apply for internships. We offer a wide range of extracurricular and athletic activities to broaden and engage our students outside of the classroom. Our after-school activities range from activities such as musical and arts productions to exciting Science, Technology, Engineering, and Mathematics (STEM) activities, such as the FIRST Robotics Competition.","French, Spanish",Manhattanville,"443 West 135th Street, Manhattan NY 10031 (40.8185, -73.949929)",212-690-6800,www.aprandolph.com,"1,438",MANHATTAN
Institute for Collaborative Education (ICE),"The Institute for Collaborative Education (ICE) is founded on the principles of the Coalition of Essential Schools and is a member of the New York State Performance Standards Consortium. As a progressive school, our courses and units of study are inquiry-based and designed to develop studentsÂ’ critical thinking skills. Students engage in academically challenging performance-based assessment tasks (PBATs) that demonstrate their understanding of course material. ICE provides students advanced learning opportunities through our collaborations and partnerships with local universities, colleges, and community-based organizations.",Spanish,Gramercy,"345 East 15th Street, Manhattan NY 10003 (40.732665, -73.98259)",212-475-7972,http://www.iceschoolnyc.org/,484,MANHATTAN
"High School for Mathematics, Science and Engineering at City College (HSMSE)","HSMSE at City College provides a unique and unparalleled collaborative educational experience. The schoolÂ’s mission is to encourage students to develop the habits of inquiry, written and verbal expression, and critical thinking. Students are drawn from all five boroughs, making it one of the most ethnically diverse schools in New York City. The academically rigorous learning environment focuses on mathematics, science, and engineering, while emphasizing civic responsibility and the value of acquiring knowledge for its own intrinsic reward. The deep professional and personal experiences of the faculty enrich the learning community; many faculty members have earned doctorates and distinguished themselves in business, engineering, and other fields.","German, Spanish",Manhattanville,"240 Convent Ave, Manhattan NY 10031 (40.820208, -73.950354)",212-281-6490,www.hsmse.org,475,MANHATTAN
Brooklyn High School of the Arts,"We are dedicated to providing talented students City-Wide with a strong curriculum in both their Academic Subjects, as well as fine arts, drama, dance, vocal music, band, and orchestral music. Along with their major studies, students are prepared for high academic achievement. Students are provided with daily studio classes in their talent area, designed to prepare them for top fine arts and performing arts colleges and help them develop the discipline to be well-rounded students and future professionals. Our Graduation Rate in 2015 was 93% and our average daily attendance rate is over 90%. Our school received a perfect score in its most recent Quality Review, achieving Â“Well DevelopedÂ” in all 5 categories.","Chinese (Mandarin), French, Spanish",DUMBO-Downtown Brooklyn,"345 Dean Street, Brooklyn NY 11217 (40.683951, -73.980266)",718-855-2412,www.brooklynhsarts.org,924,BROOKLYN 
Academy for Health Careers,"The mission of the Academy for Health Careers is to ensure that every student develops a strong foundation in health studies, science, leadership, communication, and other competencies that are essential for careers in the healthcare services industry. Our goal is to have students who will be college- and career-ready upon graduation, prepared to participate in the global marketplace as skilled problem solvers, critical thinkers, and self-sustaining citizens.","French, Spanish",Crown Heights North,"150 Albany Avenue, Brooklyn NY 11213 (40.675905, -73.939282)",718-773-0128,schools.nyc.gov/SchoolPortals/17/K751,362,BROOKLYN 
Crotona International High School,"Our mission is to partner with families and local organizations to serve English Language Learners who have recently immigrated to the United States from countries around the globe. Our graduates are prepared for success both in college and in careers in Media & Communications. Our school and classes are small; every student is known and supported to achieve. Staff and students work and learn collaboratively in heterogeneous groups. Students develop English language literacy and critical thinking skills by engaging in classroom projects, service learning, and internship programs. They learn to advocate for themselves and their families and to become active leaders in their communities.","Arabic, Spanish",Belmont,"2474 Crotona Avenue, Bronx NY 10458 (40.855392, -73.882487)",718-561-8701,www.crotonainternationalhs.org,338,BRONX    
"Heritage School, The","The Heritage School, founded in 1996, is a partnership between the New York City Department of Education and Teachers College, Columbia University. We are a small learning community that fosters the development of respectful citizens and leaders who possess the academic and social skills as well as the habits of mind to be successful in higher education and the world beyond. In addition to our comprehensive curriculum, The Heritage School is fortunate to be in a building and neighborhood that is immersed in culture, community, and pride.",Spanish,East Harlem South,"1680 Lexington Avenue, Manhattan NY 10029 (40.791966, -73.946879)",212-828-2858,http://schools.nyc.gov/SchoolPortals/04/M680/default.htm,335,MANHATTAN
Cambria Heights Academy,"At Cambria Heights Academy, we believe that students need to build confidence and expertise in cutting-edge technologies and new media in order to achieve success in the 21st century. Thus, we utilize technology as a learning tool and provide individualized academic plans for all students. Our graduating seniors will be creative thinkers who can comfortably navigate the ever-changing world of technology.","French, Spanish",Jamaica,"188-04 91St Avenue, Hollis NY 11423 (40.711857, -73.771196)",718-776-2815,www.nycacademy.org,405,QUEENS   
All City Leadership Secondary School,We educate students from grades six through twelve. All students wear a school uniform and participate in the Leadership Cadet Program. Our school culture is built on respecting others and our mission is to challenge the minds of our students each day both in and out of class. We expect our students to develop career goals and to cultivate the leadership traits and principles that are taught during the Leadership Cadet Program on Friday evenings.,Spanish,Bushwick,"321 Palmetto Street, Brooklyn NY 11237 (40.697378, -73.913172)",718-246-6500,schools.nyc.gov/SchoolPortals/32/K554,385,BROOKLYN 
The Metropolitan Soundview High School,"Our mission at The Metropolitan Soundview High School is to educate and cultivate students who will excel academically, demonstrate a sense of civic responsibility, and manifest respect for their community, their natural environment, and the people they encounter from all walks of life. By participating in a college preparatory curriculum, adding community service, and a demanding physical fitness program, the school nurtures well-rounded young adults. We will prepare our graduates to be lifelong learners and productive citizens.","Italian, Spanish",West Farms-Bronx River,"1300 Boynton Avenue, Bronx NY 10472 (40.832508, -73.878191)",718-860-8240,schools.nyc.gov/SchoolPortals/12/X521,425,BRONX    
Cultural Academy for the Arts and Sciences,We provide an academically challenging education that is proactive and responsive to all student needs. Your student will experience a personalized learning environment where the academic program and organizational structure promote positive and supportive relationships through data-driven planning and instruction. We provide international and pre-college learning opportunities that promote post-secondary success and build leadership for highly motivated students.,Spanish,East Flatbush,"5800 Tilden Avenue, Brooklyn NY 11203 (40.647728, -73.922212)",718-968-6630,www.brooklyncaas.com,354,BROOKLYN 
Richard R. Green High School of Teaching,"Our school is located in a historic building overlooking Bowling Green, Battery Park, and New York Harbor. Students enroll in either the Teaching Academy or the Liberal Arts Academy. Our Teaching Academy develops students with a lasting commitment to education who participate in off-site internships in neighboring schools. Our Liberal Arts Academy develops students as mentors, and offers a range of engaging electives that build transferrable skills. The school has a rich array of college preparatory programs.","French, Spanish",Lower Manhattan,"7 Beaver Street, Manhattan NY 10004 (40.705688, -74.013303)",646-826-8174,http://schools.nyc.gov/SchoolPortals/02/M580/default.htm,532,MANHATTAN
Stuyvesant High School,"Stuyvesant High SchoolÂ’s mission is to provide students with a rigorous curriculum that nurtures and rewards their intellectual curiosity. Although Stuyvesant is historically recognized for its strengths in math, science, and technology instruction, the school also has a dynamic and diverse humanities program, as well as unique educational opportunities outside the classroom.","Chinese (Mandarin), French, German, Italian, Japanese, Latin, Spanish",Lower Manhattan,"345 Chambers Street, Manhattan NY 10282 (40.718025, -74.013921)",212-312-4800,www.stuy.edu,"3,327",MANHATTAN
Young WomenÂ’s Leadership School (TYWLS),"The Young WomenÂ’s Leadership School of East Harlem opened in 1996 as the first in a national network of all-girls college prep schools. TYWLS nurtures the intellectual curiosity and creativity of young women by supporting the whole girl in order to maximize academic achievement, social and emotional well-being, and post-secondary success. Our support structures include daily advisory, after-school academic tutoring, and regular contact with parents. The Young WomenÂ’s Leadership Network supports our school with a wide range of leadership programs. The CollegeBound Initiative (CBI) provides college access support with a full-time CBI college counselor on our staff who guides each of our students through the college application process.",Spanish,East Harlem South,"105 East 106th Street, New York NY 10029 (40.792932, -73.947171)",212-289-7593,www.tywls.org,491,MANHATTAN
Manhattan Business Academy,"We are a small learning community committed to preparing students for college and career success through varied academic course offerings and a comprehensive Work-Based Learning Program. Our school boasts a comprehensive business program as well as a strong advisory program that allows students to form close relationships with our faculty members. Students demonstrate their understanding of subject material through writing portfolios and presentations at the end of unit. After four years of academic instruction, Advisory, and work-based learning experiences, our students graduate well-prepared to succeed in college and in their career paths.","French, Spanish",Chelsea-Union Sq,"351 West 18th Street, Manhattan NY 10011 (40.743407, -74.00254)",212-647-1983,www.manhattanbusinessacademy.org,423,MANHATTAN
Baruch College Campus High School,"Baruch College Campus High School (BCCHS) collaborates with Baruch College to create a challenging, interdisciplinary, liberal arts high school. This intensive four-year program asks students to explore the philosophical, ethical, and aesthetic dimensions of the human experience. We expect our students to become socially conscious, responsible leaders in our transforming world. BCCHS is committed to our Core Values for developing life-long learners: Rigor, Community, Real World Connections, and Global Citizenship.",Spanish,Chelsea-Union Sq,"55 East 25th Street, Manhattan NY 10010 (40.741888, -73.985723)",212-683-7440,www.bcchsnyc.net,445,MANHATTAN
Metropolitan Diploma Plus High School,"Metropolitan Diploma Plus High School is a learning community where adults are committed to supporting studentsÂ’ potential as they reconnect to education and embark on paths filled with opportunity. Through collaboration with New York City Mission Society, students can participate in real-world experiences that provide challenges, knowledge, choice, and positive outcomes. Students engage in learning experiences to improve college and career readiness skills. Youth development and leadership play an important role as students re-engage in high school.",Spanish,Brownsville,"985 Rockaway Avenue, Brooklyn NY 11212 (40.655644, -73.906662)",718-342-6249,schools.nyc.gov/SchoolPortals/23/K647,197,BROOKLYN 
Jacqueline Kennedy Onassis High School,"At Jacqueline Kennedy Onassis High School (JKO), students actively participate in the curriculum and school activities. Students are programmed based on their needs and interests. JKO is a school of International Business Studies, where all students complete eight credits in Business. Virtual Enterprise (VE), Hospitality & Tourism and Accounting are the core areas of study. We have developed strong relationships with our partners and various theatrical and dance organizations. Additionally, we require two years of Spanish, four years of Mathematics, and four years of Science for a JKO-endorsed diploma.",Spanish,Midtown,"120 West 46th Street, Manhattan NY 10036 (40.757626, -73.98346)",212-391-0041,JKOHS.Net,650,MANHATTAN
The Maxine Greene High School for Imaginative Inquiry,"The Maxine Greene High School for Imaginative Inquiry is a learning community in which deep engagement with works of art integrated across the curriculum enhances the intellectual rigor expected of all students. This work is based on the philosophy of Maxine Greene, the former Philosopher-in-Residence at Lincoln Center Education (LCE) and the exploration of the LCE Capacities for Imaginative Learning which comprise our academic language used to support student success. Through our Restorative Practices, we work to foster the sense of self-worth, empathy, and agency necessary for students to become participatory citizens who will create a more just, humane, and vibrant world.",French,Lincoln Square,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891, -73.985608)",212-799-4064,http://schools.nyc.gov/SchoolPortals/03/M299/default.htm,426,MANHATTAN
Baccalaureate School for Global Education,"The Baccalaureate School for Global Education (BSGE) is authorized by the International Baccalaureate (IB) Organization to offer the Diploma Programme, a challenging college preparatory course of study that meets the needs of highly motivated students enabling them to succeed in post-secondary institutions. We expect all students who complete our course of study to be candidates for the IB Diploma. Our student body is comprised of an ethnically diverse and economically varied population. BSGE students learn in an environment that encourages inquiry as well as intellectual and social development. Our school community is committed to fostering learning opportunities enriched with global understanding and a sense of social responsibility.","Chinese (Mandarin), French, Spanish",Queensbridge-LIC,"34-12 36th Avenue, Astoria NY 11106 (40.754975, -73.926977)",718-361-5275,www.bsge.org,486,QUEENS   
Dr. Susan S. McKinney Secondary School of the Arts,"Our school has a performing and visual arts program that serves a diverse population through a comprehensive range of academic and supportive curricula. We offer a nurturing and supportive academic learning environment. Dr. Susan S. McKinney Secondary School of the Arts is a part of the first cohort recognized in New York City as a Nationally Certified Advancement Via Individual Determination (AVID) school. To ensure that students are College and Career Ready, we have implemented iLearn courses to aid under-credited students in fulfilling their credit requirements. Based on our work with School Time Labs, we have programmed a College and Career Readiness course for all high school students with goal extending to grades six through eight.",Spanish,Fort Greene,"101 Park Avenue, Brooklyn NY 11205 (40.697177, -73.976104)",718-834-6760,www.mckinneyssa.com,427,BROOKLYN 
Queens Metropolitan High School,"Queens Metropolitan High School is a college preparatory school with a mission to have all its students attend and graduate from a college of their choice. In order to prepare for college, students are required to push their thinking in all content areas. They are frequently asked to write, defend their answers, and apply what they are learning to new situations. In addition to coursework, students take college trips and research college options to determine the college of their dreams.","French, Italian, Spanish",Forest Hills,"91-30 Metropolitan Avenue, Forest Hills NY 11375 (40.708431, -73.855543)",718-286-3600,www.queensmetro.com,"1,060",QUEENS   
Gaynor McCown Expeditionary Learning School,"Our school provides a small, academically-challenging learning community that prepares students for college success and beyond. Our community is supported by problem-solving strategies to develop student character and respect for excellence in scholarship and to energize student creativity. ItÂ’s all about attitude Â– wanting to excel, striving to meet potential, overcoming challenges, and looking to make a difference.",Spanish,Todt Hill-Heartland Village,"100 Essex Drive, Staten Island NY 10314 (40.581958, -74.159343)",718-370-6950,www.gaynormccownels.org,450,STATEN IS
Spring Creek Community School,"This is a small 6th through 12th grade school where student focus on their academic and creative work. We offer project-based learning that challenges students to question, discuss, collaborate, and solve problems. We incorporate the arts, critical literacy, and technology in all subjects. Every classroom is equipped with Smartboards, Document Cameras, and multiple computers so our students are developing twenty-first century technology skills in every class. We believe that the key to achievement is to not only involve our students, but also their familiesÂ—parents appreciate our focus on collaboration and communication and they can expect regular contact with our school.",,Bergen Beach,"1065 Elton Street, Brooklyn NY 11208 (0, 0)",718-688-7200,schools.nyc.gov/SchoolPortals/19/K422,312,BROOKLYN 
Victory Collegiate High School,"We provide a challenging academic program that fosters self-awareness and strong work habits. Our graduates are prepared for higher education and careers. We provide opportunities for students to share ideas with each other, the staff, and the community. Our students participate in project-based learning and demonstrate mastery through academic portfolio assessment. The advisory program offers students an opportunity for personal development and academic growth while building close relationships within the school community. Our staff makes every effort to know each student and family well through small class sizes and a personalized approach to education which provides a structure for success.",Spanish,Canarsie,"6565 Flatlands Avenue, Brooklyn NY 11236 (40.634451, -73.916927)",718-968-1530,www.victorycollegiate.org,339,BROOKLYN 
High School of American Studies at Lehman College,"Our school emphasizes the study of American history and offers students a well-rounded academic program that aims to prepare students for admission to highly competitive colleges and for a wide range of careers in politics, law, journalism, business, science, mathematics, and the arts. All students engage in a three-year chronological study of American History. Through our collaboration with Lehman College, students have access to its campus library and athletic facilities, and take credit-bearing college classes and seminars in their junior and senior years. In all  endeavors, we seek to encourage in our students a love for learning and an inquisitive spirit.","French, Italian, Japanese, Russian, Spanish",Van Cortlandt Village,"2925 Goulden Avenue, Bronx NY 10468 (40.874725, -73.895543)",718-329-2144,www.hsas-lehman.org,369,BRONX    
Academy of Innovative Technology,"We prepare all students to enter college and employment after four years of a multi-disciplinary curriculum that integrates challenging academics with state-of-the-art technology. Students acquire official certifications in several Information Technology (IT) applications, participate in internships, and gain the experiences to become confident, skilled, and productive citizens. We continue to support our students after they graduate through networking opportunities, alumni support groups, and e-conferences.",Spanish,Cypress Hills,"999 Jamaica Avenue, Brooklyn NY 11208 (40.693002, -73.869305)",718-827-2469,www.aoiths.org,406,BROOKLYN 
Thurgood Marshall Academy for Learning and Social Change,"We offer our students and their families comprehensive educational and support programs that provide them with the experience and knowledge needed to meet the challenges of colleges, universities, and the workforce in the 21st century.",Spanish,Central Harlem North,"200-214 West 135th Street, Manhattan NY 10030 (40.815237, -73.944299)",212-283-8055,http://schools.nyc.gov/SchoolPortals/05/M670/default.htm,549,MANHATTAN
York Early College Academy,"The mission of York Early College Academy is to develop the skills needed for success in college and careers. College preparation is continually communicated to our students. This goal is expressed by teachers, parents, and the surrounding, supportive community. In addition to a challenging and advanced academic curriculum, we are pleased to offer students the opportunity to graduate from our school with between 40-60 college credits. Our students have the full support of York College, the Early College Initiative, and the Department of Education. York Early College Academy is an open road to college.",Spanish,South Jamaica,"108-35 167th Street, Jamaica NY 11433 (40.69691, -73.786403)",718-262-8547,schools.nyc.gov/SchoolPortals/28/Q284,621,QUEENS   
Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),"Riverdale/Kingsbridge Academy (RKA) is committed to providing a challenging academic curriculum in a community-based environment. We are a neighborhood academy within a residential zone instructing grades six through twelve. Students, families, and the community come first!","French, Spanish",Fieldston-Riverdale,"660 West 237th Street, Bronx NY 10463 (40.887407, -73.914141)",718-796-8516,www.rka141.org,"1,419",BRONX    
Transit Tech Career and Technical Education High School,"We create, promote, and foster a learning environment that enables students to reach their full potential. We focus on individual growth, enabling students to develop a solid academic background required for post secondary education as well as the background in career and technical skills essential to succeed. We provide the necessary resources for students to achieve these goals while remaining accountable to all constituents for excellent educational practice. We accomplish this by partnering with students, parents, community members, and staff into a binding educational contract which acknowledges a collaborative effort by all.",Spanish,East New York,"1 Wells Street, Brooklyn NY 11208 (40.67878, -73.875328)",718-647-5204,www.transittechhs.org,"1,023",BROOKLYN 
World Academy for Total Community Health High School (WATCH),"World Academy for Total Community Health High School (WATCH) prepares students for careers in the health or athletic management industries through a challenging program leading to an Advanced Regents Diploma or Nursing Assistant state certification. WATCH creates a socially supportive learning environment that ensures student success through access to internships and community service opportunities within the health care and athletic management industries. Students are not only prepared to enter institutions of higher education, but also learn how to make healthy choices in their lives and advocate for the total health of their families, community, nation, and world.",Spanish,East New York,"400 Pennsylvania Avenue, Brooklyn NY 11207 (40.666868, -73.895122)",718-922-0650,www.watchnyc.org,251,BROOKLYN 
Beacon High School,"Beacon High School offers an inquiry-based program with technology and arts infused throughout the curriculum. We emphasize a challenging, well-rounded liberal arts education based on the principle of shared exploration and problem-solving. In assessments for graduation, students present performance-based projects to panels of teachers. Beacon offers extensive opportunities to participate in clubs, sports, community service, and international travel.","French, Italian, Spanish",Clinton,"522 West 44th Street, New York NY 10036 (40.760858, -73.996262)",212-465-4230,www.beaconschool.org,"1,306",MANHATTAN
Â“47Â” The American Sign Language and English Secondary School,"At Â“47,Â” the American Sign Language and English High School, we believe that all students have the right to learn in an inclusive, academically rigorous environment. Our elective courses challenge our studentsÂ’ creativity and our graduates emerge proficient in American Sign Language (ASL). Our school community nurtures responsible citizens of the world, addressing all aspects of young adult development by providing the necessary individual supports for our students to be college and career ready.",American Sign Language,Gramercy,"223 East 23rd Street, Manhattan NY 10010 (40.738374, -73.981329)",917-326-6668,www.47aslhs.org,186,MANHATTAN
Bronx Leadership Academy High School,"The mission of Bronx Leadership Academy High School (BLA) is to educate our students to be committed to personal excellence and to improve the quality of life within their communities and society as a whole. This is accomplished by providing a program emphasizing values, education, service to the Bronx and respect for individual differences and cultures.","American Sign Language, Spanish",Claremont-Bathgate,"1710 Webster Avenue, Bronx NY 10457 (40.84325, -73.902969)",718-299-4274,bronxleadershipacademy.org,680,BRONX    
Middle College High School at LaGuardia Community College,Our mission is to offer students opportunities to achieve success by providing a small personalized environment on a college campus. We provide tangible experiences that help students connect to the next stages of their academic and social lives as well as their careers. There is open access to the campus of LaGuardia Community College and students may enroll in college classes as part of their high school instructional program. All students are expected to graduate with a minimum of 24 college hours.,"American Sign Language, French, Italian, Spanish",Hunters Point-Sunnyside,"45-35 Van Dam Street, Long Island City NY 11101 (40.743253, -73.933316)",718-392-3330,www.mchslic.com,513,QUEENS   
New Utrecht High School,"New Utrecht High School is committed to educating its students to their maximum potential. To reach this end, we offer a full academic program designed to meet and exceed state standards. The main goal of our staff is to support our students in mastering the challenging curriculum and preparing for success. We offer an ever-expanding range of extracurricular activities and programs that enhance students' high school experience. We are a school steeped in tradition where parents are welcomed and encouraged to be partners in their child's success.","Chinese (Mandarin), Italian, Spanish",Bensonhurst West,"1601 80th Street, Brooklyn NY 11214 (40.613041, -74.002308)",718-232-2500,www.NewUtrechthighschoolnyc.com,"3,553",BROOKLYN 
